Nombre y Apellidos / Izen-abizenak,Vecindad / Non bizi zen,Lugar Muerte / Non hil zuten,Fecha / Data,Modo / Nola hil zuten
"Urquiaga Azcargorta, Pedro",Barakaldo,Barakaldo,1937-06-13,Bombardeo / Bonbardaketan hila
"Urquiaga Basaraz, Esteban",Mungia,Gasteiz,1937-06-25,Fusilado / Fusilatua
"Urquiaga Ormaechea, Mario",Barakaldo,Otxandio,1937-03-31,Muerto frente / Frontean hila
"Urquiaga Solaegui, Pedro",Muxika,Urkiola,1937-04-07,Muerto frente / Frontean hila
"Urquidi Arrieta, Bienvenido",Getaria,Cantabrico,1937-01-17,Muerto frente / Frontean hila
"Urquidi Laca, Francisca",Markina,Gernika,1937-04-26,Bombardeo / Bonbardaketan hila
"Urquijo Alberdi, Gregorio",Berriz,Bilbo,1937-08-04,Fusilado / Fusilatua
"Urquijo Azpillaga, Jose Luis",Bilbo,El Carmelo,1939-03-05,Fusilado / Fusilatua
"Urquijo Bravo, Felix",Deustu,Kalamua,1936-09-27,Muerto frente / Frontean hila
"Urquijo Camara, Felix",Bilbo,Bilbo,1937-04-18,Bombardeo / Bonbardaketan hila
"Urquijo Crespo, Manuel",Bilbo,Bilbo,1937-04-18,Bombardeo / Bonbardaketan hila
"Urquijo Diaz, Anastasio",Sestao,Bilbo,1939-03-17,Fusilado / Fusilatua
"Urquijo Ibarra, Aurelio",,Hospital Barakaldo,1937-06-17,Muerto frente / Frontean hila
"Urquijo Juan, Alfonso",,Eibar,1936-10-02,Muerto frente / Frontean hila
"Urquijo Urkiaga, Jose",Iurre,Zornotza,1937-05-11,Muerto frente / Frontean hila
"Urquiola Auzmendi, Pedro",Zumarraga,Otxandio,1936-11-30,Muerto frente / Frontean hila
"Urquiola Ortueta, Marcelino",Elosu,Donostia,1939-10-30,Fusilado / Fusilatua
"Urra Ochoa, Bernardino",Donostia,Eibar,1937-04-25,Muerto frente / Frontean hila
"Urra San Vicente, Blas",Bilbo,Bilbo,1937-09-07,Fusilado / Fusilatua
"Urraco Flores, Jesus",Donostia,Bilbo,1938-12-13,Fusilado / Fusilatua
"Urrain Egaña, Hilario",Bilbo,Bilbo,1938-03-12,Fusilado / Fusilatua
"Urraza Borde, Jose Ramon",Bilbo,Durango,1937-03-31,Bombardeo / Bonbardaketan hila
"Urrechua Arbildua, Jesus",,Otxandio,1937-04-04,Muerto frente / Frontean hila
"Urrejola Viciola, Laureano",Otxandio,Otxandio,1936-07-22,Bombardeo / Bonbardaketan hila
"Urrestarazu Alberdi, Angel",,Jarama,1937-03-15,Muerto frente / Frontean hila
"Urrestarazu Berasategi, Juan",Donostia,Elorrio,1937-04-23,Muerto frente / Frontean hila
"Urresti Alegeria, Jose Felix",,Euba,1937-05-11,Muerto frente / Frontean hila
"Urresti Buenechea, Antonio",Donostia,Asturias,1936-10-19,Muerto frente / Frontean hila
"Urresti Goñi, Juan Jose",Bermeo,Elosu,1936-12-07,Muerto frente / Frontean hila
"Urretavizcaya Guereño, Miguel",Andoain,Donostia,1936-10-22,Fusilado / Fusilatua
"Urribarri Caldeaera, Pedro",,Asturias,,Muerto frente / Frontean hila
"Urriz Larragan, Guillermo",Erandio,Bizkargi,1937-05-15,Muerto frente / Frontean hila
"Urruchi Valderrama, Emiliano",,,,Muerto frente / Frontean hila
"Urruchua Aldecoa, Serapio",Forua,Bilbo,1937-07-22,Fusilado / Fusilatua
"Urrutia Aldama, Jose Maria",Amurrio,Legutio,1936-11-30,Muerto frente / Frontean hila
"Urrutia Anduaga, Jose",Aretxabaleta,San Cristobal,1944-11-10,Fusilado / Fusilatua
"Urrutia Ariznabarreta, Mariano",Bilbo,Hospital Basurto,1937-06-08,Muerto frente / Frontean hila
"Urrutia Barroetabeña, Leandro",,Santander,1937-07-02,Muerto frente / Frontean hila
"Urrutia Diaz, Ignacio",,,,Muerto frente / Frontean hila
"Urrutia Fernandez, Jose",,Usartza,1936-10-08,Muerto frente / Frontean hila
"Urrutia Fuentes, Vicente",Arcentales,Ubidea,1936-12-21,Muerto frente / Frontean hila
"Urrutia Landa, Luis",Derio,Sollube,1937-05-17,Muerto frente / Frontean hila
"Urrutia Larrauri, Benito",Galdakao,Elgeta,1936-12-08,Muerto frente / Frontean hila
"Urrutia Ortuzar, Gregorio",Durango,Sollube,1937-05-07,Muerto frente / Frontean hila
"Urrutia Rodeño, Antonio",,,,Muerto frente / Frontean hila
"Urrutia Sanchez, Jesus Rafael",,Gernika,1937-04-28,Muerto frente / Frontean hila
"Urrutia Torrontegui, Emeterio",,Dima,,Muerto frente / Frontean hila
"Urrutia Urrutia, Francisco",Aiala,Markina,1937-04-01,Muerto frente / Frontean hila
"Urrutia, Antonio",,,1937-06-12,Muerto frente / Frontean hila
"Urrutia, Cayetano",,,1937-05-23,Muerto frente / Frontean hila
"Urrutibeaskoa Leniz, Victor",Amoroto,Otxandio,1937-04-04,Muerto frente / Frontean hila
"Urruzola Amuchategui, Jose Luis",,,,Muerto frente / Frontean hila
"Urruzola Landa, Antonio",Zestoa,Elgoibar,1936-09-20,Muerto frente / Frontean hila
"Urteaga Ugalde, Agustin",Tolosa,Donostia,1938-06-25,Fusilado / Fusilatua
"Urteaga Urteaga, Agustin",Olaberria,,1938-10-11,Fusilado / Fusilatua
"Urtiaga Bidea, Agueda",Sondika,Erandio,1937-06-14,Bombardeo / Bonbardaketan hila
"Urtiaga Eguren, Felipe",Berriz,Bilbo,1937-09-11,Fusilado / Fusilatua
"Urtiaga Elezburu, Leon",Zaldibar,Etxano,1937-05-19,Fusilado / Fusilatua
"Urtiaga Legorburu, Hipolito",,,,Muerto frente / Frontean hila
"Urtiaga Villa, Jose Luis",,Ajuria,1937-04-29,Muerto frente / Frontean hila
"Urtizberea Ibaceta, Donato",,,,Muerto frente / Frontean hila
"Urtizberea Iriarte, Eduardo",Bilbo,Hospital,1937-05-04,Muerto frente / Frontean hila
"Uruchurtu Lejarza, Hilario",Areatza,,1937-10-01,Fusilado / Fusilatua
"Uruñuela Repes, Felipe",,,,Muerto frente / Frontean hila
"Usabel Larrea, Maria Del Carmen",Iurreta,Durango,1937-03-31,Bombardeo / Bonbardaketan hila
"Usabiaga Arrieta, Pedro",Donostia,Santoña,1938-01-30,Muerto prisión / Espetxean hila
"Usabiaga Isasa, Eusebio",Donostia,,,Desaparecido / Desagertua
"Usabiaga Jauregui, Bernardo",Oiartzun,Lesaka,1936-08-11,Fusilado / Fusilatua
"Usabiaga Larrea, Alejandro",Mutriku,Mutriku,1938-07-24,Fusilado / Fusilatua
"Usabiaga Oyarzabal, Domingo",Errenteria,Errenteria,1936-07-27,Fusilado / Fusilatua
"Usabiaga Oyarzabal, Enrique",Errenteria,Errenteria,1936-07-27,Fusilado / Fusilatua
"Usabiaga Oyarzabal, Sebastan",Errenteria,Errenteria,1936-07-27,Fusilado / Fusilatua
"Usabiaga Zabala, Antonio",Aia,Getaria,1936-10-03,Fusilado / Fusilatua
"Usabiaga, Pedro",Donostia,Donostia,1936-10-01,Fusilado / Fusilatua
"Usandizaga Acin, Manuel",,,1937-05-13,Muerto frente / Frontean hila
"Usarraga Garrilboy, Policarpo",Hernani,Hernani,1936-10-26,Fusilado / Fusilatua
"Usategui Marco, Alberto",Portugalete,Asturias,1937-02-23,Muerto frente / Frontean hila
"Usatorre Olaberria, Victorio",Gernika,,,Desaparecido / Desagertua
"Uscola Laca, Rafael",,Barazar,1937-05-21,Muerto frente / Frontean hila
"Usuteguica Arrospide, Julia",Ajangiz,Gernika,1937-04-26,Bombardeo / Bonbardaketan hila
"Uzabal Larrea, Toribio",Unza,Gasteiz,1937-01-15,Fusilado / Fusilatua
"Uzcudun Uzcudun, Jose Leon",Asteasu,Bera,1936-10-15,Fusilado / Fusilatua
"Uzquiano Ruiz, Victor Carlos",Bilbo,Uncilla,1937-03-31,Muerto frente / Frontean hila
"Vadillo Cuella, Alejandro",,Zornotza,1937-05-22,Muerto frente / Frontean hila
"Vadillo Lopez, Serapio",Labastida,,,Fusilado / Fusilatua
"Vadillo Porres, Agapito",Labastida,,,Fusilado / Fusilatua
"Vadillo Vivanco, Jose",Burgos,Hospital Civil,1936-09-10,Muerto frente / Frontean hila
"Val Leon, Vidal",,,,Muerto frente / Frontean hila
"Val Nieva, Jose Luis",Las Arenas,Zornotza,1937-05-13,Muerto frente / Frontean hila
"Valbuena, Benito",Laudio,Laudio,1938-07-05,Fusilado / Fusilatua
"Valcarcel Villaverde, Gumersindo",Bilbo,Larrinaga,1938-05-01,Fusilado / Fusilatua
"Valda Acachaga,Joaquin",Donostia,Markina,1937-04-02,Muerto frente / Frontean hila
"Valdeolmillos Perez, Tedelmiro",Bilbo,Asturias,1937-02-21,Muerto frente / Frontean hila
"Valderrama Barrenechea, Antonio",Donostia,Donostia,1937-08-18,Fusilado / Fusilatua
"Valderrama Estefano, Genaro",Bilbo,Bizkargi,1937-06-13,Muerto frente / Frontean hila
"Valdes Alvarez, Manuel",Gijon,Durango,1937-05-01,Muerto frente / Frontean hila
"Valdes Echepare, Isidro",,,,Muerto frente / Frontean hila
"Valdes Muñiz, Florentino",Aviles,Hospital Basurto,1937-06-05,Muerto frente / Frontean hila
"Valdes Suarez, Herminio",Asturias,Otxandio,1936-12-26,Muerto frente / Frontean hila
"Valencia Calzada, Jose",Bilbo,Bilbo,1937-09-04,Fusilado / Fusilatua
"Valentin Dudanca, Felix",Sestao,Legutio,1936-12-02,Muerto frente / Frontean hila
"Valerdi Marticorena, Concepcion",Donostia,Donostia,1936-11-01,Fusilado / Fusilatua
"Valerio Saez, Laureano",Mendabia,Ipistikarriaga,1937-04-10,Muerto frente / Frontean hila
"Valle Aedo, Felipe",Ortuella,Logroño,1937-07-28,Fusilado / Fusilatua
"Valle Belleja, Emiliano",,,1937-05-07,Muerto frente / Frontean hila
"Valle Gonzalez, Julian",Santander,Euba,1937-05-01,Muerto frente / Frontean hila
"Valle Perez, Gumersindo",Bilbo,Bilbo,1937-12-16,Fusilado / Fusilatua
"Valle Salcedo, Miguel",,,,Muerto frente / Frontean hila
"Vallejo Alvarez, Indalecio",,,,Desaparecido / Desagertua
"Vallejo Arizmendi, Valentin",Eibar,Donostia,1936-08-16,Muerto frente / Frontean hila
"Vallejo Peña, Faustino",Artziniega,Zaragoza,1939-09-06,Muerto prisión / Espetxean hila
"Vallejo Ruiz, Aurelio",Arrigorriaga,Itziar,1936-09-23,Muerto frente / Frontean hila
"Vallejo Ruiz, Daniel",Cabanillas,Itziar,1936-09-23,Muerto frente / Frontean hila
"Vallejo Saura, Avelino",Bilbo,Otxandio,1936-07-22,Bombardeo / Bonbardaketan hila
"Vallejo Vallo, Santos",Sestao,Bizkargi,1937-05-02,Muerto frente / Frontean hila
"Valles Vicuña, Pilar",Oiartzun,Lesaka,1936-08-11,Fusilado / Fusilatua
"Valpartida Valpartida, Zacarias",Barakaldo,Amurrio,1936-12-10,Muerto frente / Frontean hila
"Valverde Buena, Emiliano",Urretxu,Beloki,1936-09-18,Fusilado / Fusilatua
"Valverde Garcia, Manuel",Bilbo,Asturias,1936-11-27,Muerto frente / Frontean hila
"Vancells Sola, Manuel",Oiartzun,Oiartzun,1940-02-12,Fusilado / Fusilatua
"Vaquedano Perez, Juan Cruz",,,,Muerto frente / Frontean hila
"Vaquero Hernandez, Magdalena",Durango,Durango,1937-03-31,Bombardeo / Bonbardaketan hila
"Varas Icazeta, Felix",Donostia,Irun,1936-08-26,Muerto frente / Frontean hila
"Varcas, Tiburcio",,,1937-05-15,Muerto frente / Frontean hila
"Varela Cruz, Manuel",,Andoain,1936-08-24,Muerto frente / Frontean hila
"Varela Narvaiza, Ulpiano",Barakaldo,Bilbo,1938-08-26,Fusilado / Fusilatua
"Varela Seijas, Manuel",,Hospital Karrantza,1937-07-28,Muerto frente / Frontean hila
"Varela Viñegra, Pedro",Amurrio,Mungia,1937-05-12,Muerto frente / Frontean hila
"Varela Vito, Isidro",Balmaseda,,,Muerto frente / Frontean hila
"Varela Vito, Oscar",Balmaseda,Otxandio,1937-04-04,Muerto frente / Frontean hila
"Varga Lomera, Eloisa",Donostia,Donostia,1939-04-24,Fusilado / Fusilatua
"Vargas Gonzalez, Baldomero",Villanueva De La Serena,Prision Orduña,1941-04-05,Muerto prisión / Espetxean hila
"Varona Clemente, Pedro",Gasteiz,Gasteiz,1936-08-14,Fusilado / Fusilatua
"Varona Garcia, Angel",Bilbo,Orozko,1936-07-19,Muerto frente / Frontean hila
"Varona Garcia, Estanislao",Bilbo,,1937-05-09,Muerto frente / Frontean hila
"Varona Maza, Bernabe",Castro Urdiales,Eibar,1937-04-19,Muerto frente / Frontean hila
"Varona Salcedo, Miguel",,,,Muerto frente / Frontean hila
"Vasseur Huberto, Luis",Paris,Otxandio,1937-04-04,Muerto frente / Frontean hila
"Vazquez Berdiel, Jose",Santander,Dima,1937-04-13,Muerto frente / Frontean hila
"Vazquez Copa, Narciso",,,,Muerto frente / Frontean hila
"Vazquez Dominguez, Bonifacio",Caceres,Irun,1936-07-24,Muerto frente / Frontean hila
"Vazquez Fernandez, Manuel",,,,Muerto frente / Frontean hila
"Vazquez Ferreño, Antonio",Erandio,Erandio,1937-04-06,Bombardeo / Bonbardaketan hila
"Vazquez Florez, Jose",Donostia,Donostia,1938-08-13,Fusilado / Fusilatua
"Vazquez Gonzalez, Jose",Valladolid,Otxandio,1937-04-04,Muerto frente / Frontean hila
"Vazquez Irazabal, Antonio",Donostia,Donostia,1938-08-17,Fusilado / Fusilatua
"Vazquez Lopez, Jose",Sopuerta,Ubidea,1936-12-07,Muerto frente / Frontean hila
"Vazquez Lopez, Lucio",,Karrantza,1937-07-03,Muerto frente / Frontean hila
"Vazquez Mateo, Eleuterio",Bilbo,Nafarrate,1936-12-18,Muerto frente / Frontean hila
"Vazquez Muñecas, Angel",Sestao,Hospital Bilbo,1937-04-12,Muerto frente / Frontean hila
"Vazquez Muñecas, Jose",Sestao,Sestao,1937-05-24,Bombardeo / Bonbardaketan hila
"Vazquez Perez, Ramon",Bilbo,Madrid,,Desaparecido / Desagertua
"Vazquez Saez, Olegario",Urretxu,Karrantza,1937-08-03,Fusilado / Fusilatua
"Vazquez Sanchez, Manuel",Oviedo,Hospital Civil,1937-06-14,Muerto frente / Frontean hila
"Vazquez Vaquero, Abraham",,,,Muerto frente / Frontean hila
"Vazquez, Angel",Tolosa,Tolosa,1936-08-12,Fusilado / Fusilatua
"Vecina Molina, Valeriano",Barakaldo,Barakaldo,1938-03-09,Fusilado / Fusilatua
"Vega Bilbao, Juan",,,,Muerto frente / Frontean hila
"Vega Cantoli, Felix",Gijon,Hospital Luxua,1937-04-30,Muerto frente / Frontean hila
"Vega Echevarria, Jose",,Orduña,1937-06-04,Muerto frente / Frontean hila
"Vega Gago, Mariano",Bilbo,Bilbo,1936-09-25,Bombardeo / Bonbardaketan hila
"Vega Gomez, Luis",,Hospital Basurto,1937-06-12,Muerto frente / Frontean hila
"Vega Gutierrez, Baldomero",Bilbo,Cestafe,1936-12-03,Muerto frente / Frontean hila
"Vega Menendez, Manuel",,Lemoa,1937-06-09,Muerto frente / Frontean hila
"Vega Molinuevo, Pascual",Aramiñon,Aramiñon,1936-08-28,Fusilado / Fusilatua
"Vega Saez, Bernardino",Donostia,Donostia,1938-08-13,Fusilado / Fusilatua
"Vega Saez, Juan",,,,Muerto frente / Frontean hila
"Vega Ugarte, Valeriano",,Fika,1937-06-11,Muerto frente / Frontean hila
"Vega Vigil, Teodoro",Mieres,Sollube,1937-05-10,Muerto frente / Frontean hila
"Vega, Jose",,Sollube,1937-05-12,Muerto frente / Frontean hila
"Vegas Garcia, Victor",Bilbo,Hospital Civil,1937-05-05,Bombardeo / Bonbardaketan hila
"Vegas Iñigo, Eulogio",,,,Muerto frente / Frontean hila
"Veiga Fernandez, Jose",Lugo,Nafarrete,1936-12-06,Muerto frente / Frontean hila
"Veiga Usllatin, Angel",Santurtzi,Eibar,1937-04-19,Muerto frente / Frontean hila
"Veintemilla Zerbello, Ramon",,Bakio,1937-05-24,Muerto frente / Frontean hila
"Vejo Gonzalez, Antonio",Laredo,Dima,1937-05-22,Muerto frente / Frontean hila
"Vel Maura, Tomas",Deustu,Prision Deustu,1939-02-26,Fusilado / Fusilatua
"Vela Cabrerizo, Jose",Gueñes,Derio,1938-01-09,Fusilado / Fusilatua
"Vela Ormazabal, Carmela",Balmaseda,Balmaseda,1937-07-27,Bombardeo / Bonbardaketan hila
"Vela Ormazabal, Consuelo",Balmaseda,Balmaseda,1937-07-27,Bombardeo / Bonbardaketan hila
"Vela Ormazabal, Jose Maria",Balmaseda,Balmaseda,1937-07-27,Bombardeo / Bonbardaketan hila
"Velar Allende, Adolfo",Barakaldo,Artxanda,1937-06-15,Muerto frente / Frontean hila
"Velar Jimenez, Juan",Morentin,Sestao,1937-05-23,Bombardeo / Bonbardaketan hila
"Velarde Uralde, Vicente",Zizurkil,Kalamua,1936-09-29,Muerto frente / Frontean hila
"Velasco Blanco, Feliciano",Leioa,Ubidea,1936-12-03,Muerto frente / Frontean hila
"Velasco Carrasco, Eusebio",Erandio,Akondia,1936-09-29,Muerto frente / Frontean hila
"Velasco Celada, Eugenio",,,,Muerto frente / Frontean hila
"Velasco Espada, Moises",Pasaia,Dima,1937-05-22,Muerto frente / Frontean hila
"Velasco Palacio, Hermogenes",Santander,Lanestosa,1936-12-11,Muerto frente / Frontean hila
"Velasco Paneda, Eduardo",,Asturias,1936-11-02,Muerto frente / Frontean hila
"Velasco Rivacoba, Vicente",Valle De Mena,Aramaio,1937-04-20,Muerto frente / Frontean hila
"Velasco Sanchez, Jesus",Trebiño,,1936-08-28,Fusilado / Fusilatua
"Velasco Sanz, Hilario",Sestao,Ubidea,1936-12-16,Muerto frente / Frontean hila
"Velasco Sobradillo, Fernando",Bilbo,Alto Barazar,1937-04-06,Muerto frente / Frontean hila
"Velasco Soto, Justo",Bilbo,Otxandio,1937-04-02,Muerto frente / Frontean hila
"Velasco Suso, Aniceto",Bilbo,,,Muerto frente / Frontean hila
"Velazquez Garcia, Zamora",Beasain,Beasain,1939-03-28,Fusilado / Fusilatua
"Velazquez San Martin, Venancio",Erandio,Amurrio,1937-05-26,Muerto frente / Frontean hila
"Velez De Mendizabal, Asuncion",Arrasate,Arrasate,1937-03-07,Otras circunstancias / Beste batzuk
"Velez De Mendizabal, Maria Teresa",Arrasate,Arrasate,1937-03-07,Otras circunstancias / Beste batzuk
"Velez Marcos, Jesus",Bilbo,Otxandio,1937-04-04,Muerto frente / Frontean hila
"Velez Peruarena, Maria",Hernani,Bilbo,1937-04-18,Bombardeo / Bonbardaketan hila
"Velon Pombo, Bautista",Lugo,Otxandio,1937-04-04,Muerto frente / Frontean hila
"Venero Sanchez, Valentin",Zaramillo,Bilbo,1938-03-11,Fusilado / Fusilatua
"Ventosa Garoña, Valeriano",Castro Urdiales,Ubidea,1937-04-05,Muerto frente / Frontean hila
"Verde Jaurrieta, David",Bilbo,Asturias,1937-02-21,Muerto frente / Frontean hila
"Verdugo Espinosa, Jose",Bilbo,Dima,1937-04-07,Muerto frente / Frontean hila
"Verdugo Perez, Laurentino",,Sollube,1937-05-05,Muerto frente / Frontean hila
"Verga Pozo, Francisco",Bilbo,Barcelona,1939-05-25,Fusilado / Fusilatua
"Vergara Agote, Jose",Zarautz,Hospital El Sitio,1937-06-10,Muerto frente / Frontean hila
"Vergara Azurmendiarreta, Francisco",Elgoibar,Braveliña,1937-01-23,Fusilado / Fusilatua
"Vergara Blanco, Constancio",Barakaldo,Chavalopea,1936-12-02,Muerto frente / Frontean hila
"Vergara Celeiro, Ramon",Castro Urdiales,Bizkargi,1937-05-15,Muerto frente / Frontean hila
"Vergara Gonzalo, Jose",Abanto,Barazar,1937-04-06,Muerto frente / Frontean hila
"Vergara Gutierrez, Eugenio",Donostia,Durango,1937-03-31,Bombardeo / Bonbardaketan hila
"Vergara Ibaibarriaga, Maria",Durango,Durango,1937-03-31,Bombardeo / Bonbardaketan hila
"Vergara Lozares, Marcelo",Beasain,Beasain,1936-07-28,Fusilado / Fusilatua
"Vergara Ochoa, Pablo",Donostia,Hospital Sondika,1937-05-12,Muerto frente / Frontean hila
"Vergara, Isidro",Zarautz,,,Fusilado / Fusilatua
"Verges Llopis, Miguel",,Bilbo,,Desaparecido / Desagertua
"Vernet Salvadó, David",Calafell,Prision Orduña,1940-09-18,Muerto prisión / Espetxean hila
"Verver, Luisa",Bilbo,Bilbo,1937-04-18,Bombardeo / Bonbardaketan hila
"Vesca Edeso, Angel",Barakaldo,Eibar,1937-03-24,Muerto frente / Frontean hila
"Vesga Lopez, Luis",Eibar,Lemoa,1937-06-10,Muerto frente / Frontean hila
"Vian Martin, Liborio",Leioa,Sabigain,1937-04-07,Muerto frente / Frontean hila
"Viana Lecanda, Pedro",Areta,Gasteiz,1937-06-21,Otras circunstancias / Beste batzuk
"Viana Perez, Calixto",Ordizia,Frente Norte,1937-04-30,Muerto frente / Frontean hila
"Viano Olano, Adolfo",,Bernagoitia,1937-05-22,Muerto frente / Frontean hila
"Vicandi Fernandez, Jose",,Zaldibar,1937-04-25,Muerto frente / Frontean hila
"Vicandi, Alfonso",Balmaseda,Elorrio,1937-04-20,Muerto frente / Frontean hila
"Vicario Alday, Pedro",Bilbo,Otxandio,1937-04-04,Muerto frente / Frontean hila
"Vicario Sarasua, Juan",,,,Muerto frente / Frontean hila
"Vicente Alvarez, Sebastian",Irun,Derio,1937-12-14,Fusilado / Fusilatua
"Vicente Casuso, Ignacio",Barakaldo,Asturias,1936-10-20,Muerto frente / Frontean hila
"Vicente Espinosa, Luis",Donostia,Derio,1937-12-18,Fusilado / Fusilatua
"Vicente Garay, Alfredo",Bilbo,Nafarrete,1936-12-18,Muerto frente / Frontean hila
"Vicente Orbegozo, Santiago",Donostia,Bizkargi,1937-05-17,Muerto frente / Frontean hila
"Vicente Ormaechea, Jose",,Lemoa,1937-05-22,Muerto frente / Frontean hila
"Vicente Rebollar, Domingo",Barakaldo,Markina,1936-09-23,Muerto frente / Frontean hila
"Vicente Roland, Regis",Donostia,Donostia,,Fusilado / Fusilatua
"Vicente Santamaria, Rogelio",Bilbo,Ubidea,1936-12-02,Muerto frente / Frontean hila
"Vicente Zapirain, Antonio",,Jaizkibel (Lezo),1936-09-10,Muerto frente / Frontean hila
"Vicente, Jose",Algorta,Hospital Club Deportivo,1937-05-05,Muerto frente / Frontean hila
"Vicezoreta, Leo",,Hospital Barakaldo,1937-06-14,Muerto frente / Frontean hila
"Vicinay Bengoa, Jose Maria",Otxandio,Otxandio,1936-07-22,Bombardeo / Bonbardaketan hila
"Victoria Lacilla, Marcos",,,,Muerto frente / Frontean hila
"Victorica Lazaro, Alfredo",Barakaldo,Logroño,1936-08-18,Fusilado / Fusilatua
"Vicuña Aranzabal, Manuel",,,1937-04-25,Muerto frente / Frontean hila
"Vicuña Ecenarro, Luis",Tolosa,Tolosa,1941-10-11,Fusilado / Fusilatua
"Vicuña Ferrero, Pedro",Urnieta,Asturias,1936-10-24,Muerto frente / Frontean hila
"Vidal Figueroa, Jesus",,,,Muerto frente / Frontean hila
"Vidarte Grande, Pedro",Sestao,Sestao,1937-05-23,Bombardeo / Bonbardaketan hila
"Vidaurrazaga Olabarrieta, Juan",Erandio,Hospital Barakaldo,1937-06-03,Muerto frente / Frontean hila
"Vidaurre Vidaurre, Manuel",Zarautz,Otxandio,1937-04-04,Muerto frente / Frontean hila
"Vide Aldama, Juan",Portugalete,Euba,1937-05-13,Muerto frente / Frontean hila
"Videgain Alcorta, Juan Jesus",Bilbo,Bilbo,1938-06-23,Fusilado / Fusilatua
"Vidiella Zabala, Juan Jose",Derio,Zornotza,1937-05-11,Muerto frente / Frontean hila
"Vieites Lorenzo, Avelino",,,,Muerto frente / Frontean hila
"Vierna, Antonio",Bilbo,Banderas,1940-02-18,Fusilado / Fusilatua
"Viguera Garcia, Eugenio",Zalla,Legutio,1936-12-02,Muerto frente / Frontean hila
"Viguri Ariño, Jose Luis",Palencia,Dima,1937-04-06,Muerto frente / Frontean hila
"Viguri Berganza, Jose Maria",Amurrio,Amurrio,1936-09-26,Otras circunstancias / Beste batzuk
"Viguri Meaza, Guadalupe",Amurrio,Amurrio,1936-09-26,Otras circunstancias / Beste batzuk
"Vila Camins, Ramon",Getxo,Getxo,1937-05-10,Bombardeo / Bonbardaketan hila
"Vila Molina, Jose",Albacete,Amurrio,1937-05-26,Muerto frente / Frontean hila
"Vila Yarza, Miguel",,,1937-04-25,Muerto frente / Frontean hila
"Vilanova Gil, Diego",Bilbo,Hospital Basurto,1937-06-19,Muerto frente / Frontean hila
"Vilar Vañolas, Jaime",Deustu,Prision Deustu,1939-04-27,Fusilado / Fusilatua
"Villa Aja, Braulio Jose",Bilbo,Bilbo,1937-12-17,Fusilado / Fusilatua
"Villa Ateca, Jose",Bilbo,Bilbo,1937-12-17,Fusilado / Fusilatua
"Villa Ateca, Moises",Bilbo,Bilbo,1937-12-17,Fusilado / Fusilatua
"Villa Garma, Federico",Santander,Murua,1936-11-30,Muerto frente / Frontean hila
"Villa Garrastazu, Adrian",Barakaldo,Hospital Basurto,1937-05-16,Muerto frente / Frontean hila
"Villa Guerediaga, Florentino",,,,Muerto frente / Frontean hila
"Villa Ruedo, Emilio",Bilbo,Bilbo,1937-12-16,Fusilado / Fusilatua
"Villa Viaña, Pedro",,Nafarrete,1936-12-04,Muerto frente / Frontean hila
"Villa, Manuel",,,1937-05-15,Muerto frente / Frontean hila
"Villacernil, Simon",,,1937-04-25,Muerto frente / Frontean hila
"Villafria Pampliega, Cesar",Bilbo,Bilbo,1937-05-01,Bombardeo / Bonbardaketan hila
"Villafruela Alvarez, Ladislao",,Limpias,1937-07-10,Muerto frente / Frontean hila
"Villagrau Llorens, Pedro",Deustu,Prision Deustu,1939-02-24,Fusilado / Fusilatua
"Villajuela Tristal, Julio",Bilbo,Irun,1936-09-02,Muerto frente / Frontean hila
"Villalobos, Leoncio",,,1937-05-14,Muerto frente / Frontean hila
"Villalonga Lopez, Candido",La Arboleda,Bilbo,1938-03-17,Fusilado / Fusilatua
"Villamancio Regil, Pascual",,,,Muerto frente / Frontean hila
"Villamil Rodriguez, Jose",Barakaldo,Gorbea,1937-05-19,Muerto frente / Frontean hila
"Villamor, Domingo",Orduña,Burgos,1939-08-04,Fusilado / Fusilatua
"Villan Diez, Jose",Bilbo,Otxandio,1937-04-04,Muerto frente / Frontean hila
"Villan Sanz, Wescenlao",Bilbo,,,Desaparecido / Desagertua
"Villanova Tena, Jose",Almenar,Prision Orduña,1938-06-03,Muerto prisión / Espetxean hila
"Villanueva Amezqueta, Jose",,Hospital Areta,1937-05-31,Muerto frente / Frontean hila
"Villanueva Arana, Jose Luis",,,,Muerto frente / Frontean hila
"Villanueva Garcia, Lorenzo",,,,Muerto frente / Frontean hila
"Villanueva Guerra, Miguel",Bilbo,Barazar,1937-04-01,Muerto frente / Frontean hila
"Villanueva Izaguirre, Fernando",Muskiz,Barazar,1937-04-06,Muerto frente / Frontean hila
"Villanueva Moleguero, Nicomedes",Barakaldo,Ajuria,1937-05-20,Muerto frente / Frontean hila
"Villanueva Pedrons, Valeriano",,,,Muerto frente / Frontean hila
"Villanueva Perez, Jose",Monda,Prision Orduña,1940-10-31,Muerto prisión / Espetxean hila
"Villanueva Ruiz, Luis",Bilbo,Bilbo,1937-09-09,Fusilado / Fusilatua
"Villanueva Santiabañez, Prudencio",Bilbo,Otxandio,1937-04-04,Muerto frente / Frontean hila
"Villanueva Umaran, Benigno",Somorrostro,Lemoa,1937-05-16,Muerto frente / Frontean hila
"Villanueva Uribarri, Agustin",Mioño,Otxandio,1937-03-31,Muerto frente / Frontean hila
